strategy,top_k,source_order,spiral_turns,pair_count,coverage,crossings,node_intrusions,mean_imbalance,mean_net_flow,total_tree_length,mean_detour_ratio,max_detour_ratio,total_represented_flow
raw_directed,10,descending_outflow,1.1,10.0,0.3194372493437098,0.0,0.0,1.0,10975.8,652888.4743217271,1.0,1.0,343598.0
greedy_spiral_tree,10,descending_outflow,1.1,10.0,0.511196223493734,0.0,0.0,0.10292612062902037,1687.4,743431.4376766897,1.2025087539836012,1.534354242448468,343598.0
enhanced_greedy_spiral_tree,10,descending_outflow,1.1,10.0,0.511196223493734,0.0,0.0,0.10292612062902037,1687.4,751658.9865398377,1.209686492593645,1.455693261872374,343598.0
obstacle_aware_spiral_tree,10,descending_outflow,1.1,10.0,0.511196223493734,0.0,0.0,0.10292612062902037,1687.4,751658.9865398377,1.209686492593645,1.455693261872374,343598.0
raw_directed,20,descending_outflow,1.1,20.0,0.5224157300100699,3.0,1.0,1.0,8975.05,1354649.2046923384,1.0,1.0,343598.0
greedy_spiral_tree,20,descending_outflow,1.1,20.0,0.7319338296497652,7.0,4.0,0.1756647979870618,1682.85,1938995.5534166368,1.1819538877626987,1.4969403049904249,343598.0
enhanced_greedy_spiral_tree,20,descending_outflow,1.1,20.0,0.7319338296497652,7.0,4.0,0.1756647979870618,1682.85,1949003.6570559877,1.1777933047916838,1.4720960443179116,343598.0
obstacle_aware_spiral_tree,20,descending_outflow,1.1,20.0,0.7319338296497652,7.0,4.0,0.1756647979870618,1682.85,1921032.2656132774,1.1587644134049129,1.4720960443179116,343598.0
raw_directed,30,descending_outflow,1.1,30.0,0.6635923375572617,12.0,3.0,1.0,7600.3,2153518.181159148,1.0,1.0,343598.0
greedy_spiral_tree,30,descending_outflow,1.1,30.0,0.8500194995314292,28.0,4.0,0.14602263471900026,1240.5,3231586.141548368,1.1933931694597202,1.777017389834352,343598.0
enhanced_greedy_spiral_tree,30,descending_outflow,1.1,30.0,0.8500194995314292,28.0,3.0,0.14602263471900026,1240.5,3269001.352128545,1.2003921213066635,1.5171829751661705,343598.0
obstacle_aware_spiral_tree,30,descending_outflow,1.1,30.0,0.8500194995314292,25.0,4.0,0.14602263471900026,1240.5,3269779.081607163,1.2060100196224532,1.5549458785984924,343598.0
raw_directed,40,descending_outflow,1.1,40.0,0.7430252795417901,28.0,7.0,1.0,6382.55,3308832.4809230184,1.0,1.0,343598.0
greedy_spiral_tree,40,descending_outflow,1.1,40.0,0.9257795447004931,77.0,4.0,0.16038205478987105,1060.5,4550225.181805217,1.2037334653711391,1.7808821308930542,343598.0
enhanced_greedy_spiral_tree,40,descending_outflow,1.1,40.0,0.9257795447004931,85.0,5.0,0.16038205478987105,1060.5,4622580.976099482,1.2171043066480522,1.535822876099363,343598.0
obstacle_aware_spiral_tree,40,descending_outflow,1.1,40.0,0.9257795447004931,74.0,6.0,0.16038205478987105,1060.5,4530936.867456978,1.1966824911356468,1.4720960443179116,343598.0
raw_directed,50,descending_outflow,1.1,50.0,0.8034505439496156,69.0,9.0,1.0,5521.28,4394550.407733482,1.0,1.0,343598.0
greedy_spiral_tree,50,descending_outflow,1.1,50.0,0.9752239535736529,169.0,6.0,0.1408240377459503,867.3,5986732.823982288,1.1947492700826072,1.7835580544603107,343598.0
enhanced_greedy_spiral_tree,50,descending_outflow,1.1,50.0,0.9752239535736529,183.0,6.0,0.1408240377459503,867.3,6113920.613864316,1.2195581825039965,1.5806192534657835,343598.0
obstacle_aware_spiral_tree,50,descending_outflow,1.1,50.0,0.9752239535736529,158.0,8.0,0.1408240377459503,867.3,5936808.624489709,1.1822256806957823,1.4720960443179116,343598.0
raw_directed,60,descending_outflow,1.1,60.0,0.8565882222830168,122.0,11.0,1.0,4905.366666666667,5601906.752647659,1.0,1.0,343598.0
greedy_spiral_tree,60,descending_outflow,1.1,60.0,0.9959633059563793,240.0,8.0,0.14976771069337852,744.15,7705686.814325317,1.1849722835694336,1.7835580544603107,343598.0
enhanced_greedy_spiral_tree,60,descending_outflow,1.1,60.0,0.9959633059563793,238.0,11.0,0.14976771069337852,744.15,7833929.507517573,1.2037454732237534,1.7116240192586407,343598.0
obstacle_aware_spiral_tree,60,descending_outflow,1.1,60.0,0.9959633059563793,214.0,14.0,0.14976771069337852,744.15,7619772.362345572,1.1662142464361636,1.5286564046981552,343598.0
